time_s,BMR_A,BMP_A,SPM_A
253800,-4.7348e-05,7.2407e-09,3.3824
254700,-8.437e-07,7.8074e-09,2.4833
255600,20.003,1.2656e-08,3.7185
256500,14.742,1.4544e-08,3.0371
257400,14.52,1.7944e-08,2.0827
258300,18.609,2.7767e-08,0.43586
259200,-0.0030524,2.7956e-11,0.016071
260100,-0.001774,-9.6963e-11,0.020625
261000,0.0014753,-9.0037e-11,0.012808
261900,0.0033511,-7.7444e-11,0.0013443
262800,-0.0038096,-2.1722e-10,2.4619e-06
263700,-0.0020025,-1.8952e-10,0.00013159
264600,0.0017084,-1.6937e-10,2.0337e-05
265500,0.0041035,-1.5363e-10,2.6507e-06
266400,-0.0043384,-4.242,-0.00019078
267300,-0.0019029,-4.242,0.00016181
268200,0.0018377,-4.242,2.5752e-05
269100,0.0044036,-4.242,3.3874e-06
270000,-0.0049373,-4.242,-1.6743
270900,-0.0020716,-4.242,-2.1244
271800,0.0018271,-4.242,-2.8768
272700,0.0051818,-4.242,-3.124
273600,-19.486,-4.242,-5.4226
274500,-14.799,-4.242,-4.7835
275400,-14.696,-4.242,-5.3309
276300,-18.891,-4.242,-5.5755
277200,19.255,-1.253e-09,10.714
278100,14.878,-1.2341e-09,7.0833
279000,14.831,-1.2215e-09,4.2609
279900,18.907,-1.2089e-09,2.7599
280800,-19.054,-4.242,-0.8332
281700,-15.021,-4.242,-1.8421
282600,-14.964,-4.242,-2.3836
283500,-18.832,-4.242,-3.1617
284400,0.0037811,-2.4052e-10,1.6056
285300,0.0020171,-2.5185e-10,-0.29981
286200,-0.0017875,-2.6444e-10,-1.8522
287100,-0.0040107,-2.7956e-10,-2.5834
288000,0.0040438,-7.3667e-11,1.3783
288900,0.0018079,-7.7444e-11,0.18463
289800,-0.001968,-8.1852e-11,-0.20764
290700,-0.0038837,-8.6259e-11,-1.0665
291600,0.002689,-2.3737e-11,3.2648
292500,0.0014114,-2.6822e-11,1.3846
293400,-0.0031369,-3.0096e-11,0.080614
294300,-0.00096333,-3.3433e-11,-0.86696
295200,4.4137e-06,-1.0767e-11,1.0084
296100,0.0028395,-1.3915e-11,0.18388
297000,-0.0024576,-1.7126e-11,-0.27105
297900,-0.00038659,-2.04e-11,-1.0574
298800,0.0017069,4.2248e-12,0.93054
299700,0.0029105,1.0326e-12,-0.23214
300600,-0.0014498,-2.103e-12,-1.4283
