timestamp,forecast_price_eur_mwh,slot_id,date,hour,minute,day_of_week,is_weekend,model_name,created_at_utc,forecast_reason
2026-01-01 12:45:00,85.82900000000001,51,2026-01-01,12,45,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 13:00:00,85.224,52,2026-01-01,13,0,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 13:15:00,89.14999999999999,53,2026-01-01,13,15,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 13:30:00,92.09199999999998,54,2026-01-01,13,30,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 13:45:00,102.20399999999998,55,2026-01-01,13,45,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 14:00:00,90.188,56,2026-01-01,14,0,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 14:15:00,97.93,57,2026-01-01,14,15,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 14:30:00,102.963,58,2026-01-01,14,30,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 14:45:00,125.649,59,2026-01-01,14,45,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 15:00:00,101.94900000000001,60,2026-01-01,15,0,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 15:15:00,111.631,61,2026-01-01,15,15,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 15:30:00,124.946,62,2026-01-01,15,30,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 15:45:00,152.89499999999998,63,2026-01-01,15,45,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 16:00:00,144.086,64,2026-01-01,16,0,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 16:15:00,151.663,65,2026-01-01,16,15,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 16:30:00,155.428,66,2026-01-01,16,30,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 16:45:00,163.37,67,2026-01-01,16,45,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 17:00:00,146.04399999999998,68,2026-01-01,17,0,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 17:15:00,139.802,69,2026-01-01,17,15,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 17:30:00,135.503,70,2026-01-01,17,30,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 17:45:00,135.75900000000001,71,2026-01-01,17,45,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 18:00:00,149.25,72,2026-01-01,18,0,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 18:15:00,135.53500000000003,73,2026-01-01,18,15,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
